,username,TwitterID,DateTime,likes,retweet,replies,text,media
0,ClevelandClinic,917004148779900930,5:30 AM - 8 Oct 2017,124,70,0,Exercise helps keep your immune system in tip-top shape!,1
1,ClevelandClinic,916971685869432832,3:21 AM - 8 Oct 2017,129,68,4,Can fasting help or hurt your heart? Here’s a cardiologist’s perspective:,1
2,ClevelandClinic,916963635741720577,2:49 AM - 8 Oct 2017,72,24,1,Make this for a perfect Sunday breakfast or brunch:,1
3,ClevelandClinic,916951550517547008,2:01 AM - 8 Oct 2017,56,31,1,Are protein bars wrecking your diet? How to choose wisely:,1
4,ClevelandClinic,916890397590175744,9:58 PM - 7 Oct 2017,162,121,2,"5 tips to relieve computer, tablet and smartphone induced eye strain:",1
5,ClevelandClinic,916868503348453376,8:31 PM - 7 Oct 2017,97,71,0,These blood pressure #s are important to know by HEART:,1
6,ClevelandClinic,916860954586914821,8:01 PM - 7 Oct 2017,15,2,2,See if it's OK or not:,1
7,ClevelandClinic,916855418592296961,7:39 PM - 7 Oct 2017,40,18,0,"Anyone can develop age spots, but you are more likely to if...",1
8,ClevelandClinic,916848372153282560,7:11 PM - 7 Oct 2017,85,61,2,Headache just on one side? Here's what it could be:,1
9,ClevelandClinic,916816916240584710,5:06 PM - 7 Oct 2017,188,93,6,Are you worrying yourself sick?,1
10,ClevelandClinic,916806344874721281,4:24 PM - 7 Oct 2017,72,44,6,Are sweet potato fries really the healthier option?,1
11,ClevelandClinic,916796784705458178,3:46 PM - 7 Oct 2017,84,53,9,Apple or pear: which body shape is worse for your health?,1
12,ClevelandClinic,916782939655962624,2:51 PM - 7 Oct 2017,268,160,6,6 deliciously healthy teas that may help prevent chronic disease:,1
13,ClevelandClinic,916757774943518720,1:11 PM - 7 Oct 2017,81,39,4,Why women have a different pain threshold than men.,1
14,ClevelandClinic,916740159013453824,12:01 PM - 7 Oct 2017,111,76,3,The difference between farmed and wild salmon from @KristinKirkpat:,1
15,ClevelandClinic,916709208573308928,9:58 AM - 7 Oct 2017,73,47,1,Try these remedies for your lower back pain:,1
16,ClevelandClinic,916679259737022464,7:59 AM - 7 Oct 2017,121,66,2,Boost your immune system with these vitamins and minerals!,1
17,ClevelandClinic,916642011783897088,5:31 AM - 7 Oct 2017,192,130,6,Does coffee calm you or make you anxious? The reason may be in your genes.,1
18,ClevelandClinic,916609045275975680,3:20 AM - 7 Oct 2017,97,59,7,"If you like your coffee creamy, use this type of milk:",1
19,ClevelandClinic,916601244092817409,2:49 AM - 7 Oct 2017,97,45,2,Your guide to the best and worst nut butters.,1
20,ClevelandClinic,916589163729666048,2:01 AM - 7 Oct 2017,58,36,0,5 glands you didn't know you had and what they do for your body.,1
21,ClevelandClinic,916529773639290881,10:05 PM - 6 Oct 2017,41,20,6,The pros (and cons) of using a menstrual cup instead of tampons:,1
22,ClevelandClinic,916522222394605568,9:35 PM - 6 Oct 2017,82,36,1,3 tricks to keep your hands looking young and what not to do:,1
23,ClevelandClinic,916506116502192129,8:31 PM - 6 Oct 2017,176,108,4,The acid in your stomach is strong enough to burn your skin. 8 more interesting #digestive facts:,1
24,ClevelandClinic,916498567296057344,8:01 PM - 6 Oct 2017,278,135,15,Kale or spinach: which green is better for your body?,1
25,ClevelandClinic,916493029921374208,7:39 PM - 6 Oct 2017,83,42,0,Are you damaging your teeth?,1
26,ClevelandClinic,916485983339606017,7:11 PM - 6 Oct 2017,101,40,0,Do THIS today to avoid feeling bloated tomorrow.,1
27,ClevelandClinic,916454528362434561,5:06 PM - 6 Oct 2017,70,42,2,Recent news claims Moscow Mules in copper mugs could make you sick. We explain the facts:,1
28,ClevelandClinic,916443956489129984,4:24 PM - 6 Oct 2017,69,55,1,8 types of pain you shouldn't ignore:,1
29,ClevelandClinic,916434394449145857,3:46 PM - 6 Oct 2017,159,98,3,You can actually train your immune system to fight off a cold:,1
30,ClevelandClinic,916420551710609408,2:51 PM - 6 Oct 2017,101,52,4,How to detect if your B12 level is low:,1
31,ClevelandClinic,916409240083771392,2:06 PM - 6 Oct 2017,67,36,1,"Viral infections may be concerning for parents, but experts say they’re necessary to build strong immune systems. ",2
32,ClevelandClinic,916399664651419648,1:28 PM - 6 Oct 2017,95,16,3,Greeter dog Piper is suited up and game day ready to #RallyTogether for @Indians tonight!pic.twitter.com/nfEMqZUwHS,1
