,username,TwitterID,DateTime,likes,retweet,replies,text,media
0,MayoClinic,917011704260759552,6:00 AM - 8 Oct 2017,20,13,0,Valley woman who beat #BreastCancer works to spread awareness ,1
1,MayoClinic,917006056852803584,5:37 AM - 8 Oct 2017,138,74,8,"Small changes can make all the difference when you run. For more healthy living tips, download the Mayo Clinic app. ",2
2,MayoClinic,916845602641711104,7:00 PM - 7 Oct 2017,17,14,0,"Incorporating changes into your exercise, diet routines may help prevent or avoid #hemorrhoids. ",1
3,ossolalex,915993207518978048,10:32 AM - 5 Oct 2017,19,7,1,A room full of sequencers @MayoClinic researchers use to understand disease. This one machine can spit out results in real time #MayoJR17pic.twitter.com/1UHbQEXnn1,1
4,MayoClinic,916817921598476288,5:10 PM - 7 Oct 2017,12,8,0,3 things to know about home #genetic testing. ,1
5,MayoClinic,916760039540617217,1:20 PM - 7 Oct 2017,35,28,0,Read how Mayo Clinic plans to use data to fight unnecessary lab tests. ,1
6,MayoClinic,916724815851130883,11:00 AM - 7 Oct 2017,11,7,0,Leah Nelms feels like herself again after comprehensive care for her #BreastCancer. ,1
7,SharonTheimer,916318120691798017,8:03 AM - 6 Oct 2017,22,12,0,@MayoClinic Dr. Jennifer Fang shows how she can zoom in on a newborn via #telemedicine to help drs miles away resuscitate the baby #MayoJR17pic.twitter.com/UNiYUD0qK4,1
8,MayoClinic,916708125209780225,9:53 AM - 7 Oct 2017,119,66,3,"A whole-food diet rich in fruits, vegetables is powerful medicine. Download Mayo Clinic app for #healthyliving tips. ",2
9,MayoClinic,916680775722000386,8:05 AM - 7 Oct 2017,35,19,0,Tom Brokaw talks about his ‘rebirth’ after his #cancer diagnosis. ,1
10,MayoClinic,916646796432236544,5:50 AM - 7 Oct 2017,24,18,0,Mayo Clinic Connect #Parkinsons group members say #sleep issues affect their moods. Join the conversation. ,1
11,MayoClinic,916630438868869120,4:45 AM - 7 Oct 2017,19,10,0,"For the latest in health and wellness, tune in to #MayoClinicRadio this weekend. Find an affiliate near you. ",1
12,MayoClinic,916498317416321024,8:00 PM - 6 Oct 2017,36,24,0,Balancing school and sleep? Learn these healthy habits to help you balance both. ,1
13,MayoClinic,916486994435493888,7:15 PM - 6 Oct 2017,63,36,0,Liquid biopsies: detecting and treating #cancer sooner. ,1
14,MayoClinic,916471891518541824,6:15 PM - 6 Oct 2017,64,36,4,"Beer for women claims it can help with #menopause, but science says you’re just drunk. ",1
15,MayoClinic,916458051426713600,5:20 PM - 6 Oct 2017,34,13,0,Lemonade stand fuels donation 'in honor of Emmy's left eye'. ,1
16,MayoClinic,916450955952099329,4:51 PM - 6 Oct 2017,50,43,3,"Is there a link between #sleep and #Alzheimers? Hear from @RonPetersenMD, neurologist, in this #MayoClinicMinute. ",2
17,MayoClinic,916445475435368448,4:30 PM - 6 Oct 2017,177,132,0,Did you know? Your liver will return to normal size after about 12 weeks. Learn more about becoming a #Livingdonor. ,1
18,MayoClinic,916430306193887232,3:29 PM - 6 Oct 2017,18,16,0,Is there a positive link between exercise and #lymphedema? Hear from @JaxBreastDr  in this #MayoClinicMinute. ,2
19,MayoClinic,916420305186369536,2:50 PM - 6 Oct 2017,21,16,0,High #BloodPressure in early midlife associated with later #dementia risk. ,1
20,MayoClinic,916410235924959234,2:10 PM - 6 Oct 2017,35,27,1,New technology designed to help protect their #cancer patients' hair from falling out. ,1
21,MayoClinic,916398913917157377,1:25 PM - 6 Oct 2017,21,16,0,Midlife Crisis: Why (and How) it's hitting #GenX women. ,1
22,MayoClinic,916390857154076672,12:53 PM - 6 Oct 2017,100,26,0,"Mayo Clinic donates $250,000 to help disaster victims in Puerto Rico, Mexico ",1
23,MayoClinic,916354876246052869,10:30 AM - 6 Oct 2017,18,13,1,Ever wondered what to do to help you get to #sleep? Discuss with others on Mayo Clinic Connect's Sleep Health Group. ,1
24,MayoClinic,916346311808638979,9:56 AM - 6 Oct 2017,101,62,1,A man moves his paralyzed legs again using a device that stimulates the spinal cord. ,1
25,MayoClinic,916317131008069632,8:00 AM - 6 Oct 2017,12,2,0,Surgery frees Ross Wasdin to be an active father once again. ,1
26,MayoClinic,916302026606284800,7:00 AM - 6 Oct 2017,9,9,0,"Discover the latest individual approaches to medication, neurological conditions and gut health at #CIMCON17.",1
27,shayla__love,915759545007386624,7:04 PM - 4 Oct 2017,30,10,0,The happy faces of science journalists when they get to observe surgeries @MayoClinic and realize how comfortable scrubs are #MayoJR17pic.twitter.com/a3E5DnRPZK,1
28,MayoClinic,916291426971017216,6:17 AM - 6 Oct 2017,12,8,2,"This weekend on #MayoClinicRadio, we'll preview the Individualizing Medicine Conference, hosted by @MayoClinicCIM. ",1
29,MayoClinic,916287175188254726,6:01 AM - 6 Oct 2017,54,19,0,"Switch up your usual chicken routine and pick up some shrimp. For #healthyrecipes, download the Mayo Clinic app. ",2
30,MayoClinic,916127117913583618,7:25 PM - 5 Oct 2017,46,24,0,7 things I wish people understood about #OCD. Read to learn more about those dealing with OCD. ,1
31,MayoClinic,916096572575879168,5:23 PM - 5 Oct 2017,11,9,3,#WomensWellness: Reduce health risks from early removal of #ovaries.   ,1
