,username,TwitterID,DateTime,likes,retweet,replies,text,media
0,WebMD,917026806405967873,7:00 AM - 8 Oct 2017,52,29,0,Different types of carbs impact your blood sugar in different ways -- more on how: ,1
1,WebMD,917011703866515456,6:00 AM - 8 Oct 2017,53,34,0,"Sleeping in may be tempting, but getting up at the same time every day helps improve your quality of sleep. ",1
2,WebMD,916989220497092608,4:30 AM - 8 Oct 2017,111,71,4,Does vertigo have the room spinning? The Epley maneuver may provide relief in just a few easy steps: ,2
3,WebMD,916973953855483904,3:30 AM - 8 Oct 2017,28,22,1,Knowing how to destroy left-behind germs can keep sickness from spreading in your home. ,1
4,WebMD,916958854298161152,2:30 AM - 8 Oct 2017,10,8,0,Treatments for toenail fungus range from a topical cream to surgery to remove the nail. What you should know: ,1
5,WebMD,916943753860014080,1:30 AM - 8 Oct 2017,38,27,0,"Incredible. Within hours of breaking a bone, your body has already started to repair itself. Learn more: ",1
6,WebMD,916928659012882432,12:30 AM - 8 Oct 2017,34,22,4,True or false: What you eat the night before a cholesterol test can affect your numbers. ,1
7,WebMD,916913554183409667,11:30 PM - 7 Oct 2017,130,94,5,Depression is more than having “the blues” -- it’s long periods of extreme sadness that keep coming back. More: ,1
8,WebMD,916898456169480192,10:30 PM - 7 Oct 2017,39,37,3,"People with which blood type have a lower risk of heart disease: A, B, or O?",1
9,WebMD,916883356444479488,9:30 PM - 7 Oct 2017,61,38,13,True or false: Women are more likely than men to have a thyroid imbalance. ,1
10,WebMD,916868259164672001,8:30 PM - 7 Oct 2017,100,50,5,Just 1 cup of butternut squash has nearly 300% of your daily needs of vitamin A & almost half your day’s vitamin C. ,1
11,WebMD,916853158693015552,7:30 PM - 7 Oct 2017,27,19,0,"Tearing, redness, itching, and crusty eyelashes are all signs of conjunctivitis, commonly called pinkeye. More info: ",1
12,WebMD,916838064747679745,6:30 PM - 7 Oct 2017,133,68,1,Nuts are an excellent way to curb hunger between meals -- for a couple reasons. Learn more: ,1
13,WebMD,916822959372881922,5:30 PM - 7 Oct 2017,34,20,10,True or false: Drinking beer can trigger a gout attack. ,1
14,WebMD,916807859811348481,4:30 PM - 7 Oct 2017,38,31,2,There are two types of lymphoma -- Hodgkin's and non-Hodgkin's -- and they both happen in a similar way. More info: ,1
15,WebMD,916792759641628673,3:30 PM - 7 Oct 2017,158,100,6,"Fiber, vitamin C, potassium, iron, beta-carotene… there are a lot of health benefits to eating sweet potatoes. More: ",1
16,WebMD,916777660956717057,2:30 PM - 7 Oct 2017,39,41,3,"When your blood sugar gets too low, which part of your body will notice it first: your muscles, heart, or brain? ",1
