,username,TwitterID,DateTime,content,likes,retweet,replies,image,articleImage,video
0,ClevelandClinic,917004148779900930,5:30 AM - 8 Oct 2017,Exercise helps keep your immune system in tip-top shape!http://cle.clinic/2gijcbs,124,70,0,,https://t.co/1l7HbyMNom,
1,ClevelandClinic,916971685869432832,3:21 AM - 8 Oct 2017,Can fasting help or hurt your heart? Here’s a cardiologist’s perspective:http://cle.clinic/2y5xxBx,129,68,4,,https://t.co/mib7qkeIAL,
2,ClevelandClinic,916963635741720577,2:49 AM - 8 Oct 2017,Make this for a perfect Sunday breakfast or brunch:http://cle.clinic/2xnjjwF,72,24,1,,https://t.co/WCrVIv1wCL,
3,ClevelandClinic,916951550517547008,2:01 AM - 8 Oct 2017,Are protein bars wrecking your diet? How to choose wisely:http://cle.clinic/2xmrbi5,56,31,1,,https://t.co/LHUgi59f3d,
4,ClevelandClinic,916890397590175744,9:58 PM - 7 Oct 2017,"5 tips to relieve computer, tablet and smartphone induced eye strain:http://cle.clinic/2fQRJNr",162,121,2,,https://t.co/zVlEC7RTIz,
5,ClevelandClinic,916868503348453376,8:31 PM - 7 Oct 2017,These blood pressure #s are important to know by HEART:http://cle.clinic/2z5F0yG,97,71,0,,https://t.co/7wzCK6wulp,
6,ClevelandClinic,916860954586914821,8:01 PM - 7 Oct 2017,See if it's OK or not:http://cle.clinic/2ktSjFN,15,2,2,,https://t.co/Gq3YSuu8Jq,
7,ClevelandClinic,916855418592296961,7:39 PM - 7 Oct 2017,"Anyone can develop age spots, but you are more likely to if...http://cle.clinic/2z4mLcP",40,18,0,,https://t.co/HEUcJbgkJK,
8,ClevelandClinic,916848372153282560,7:11 PM - 7 Oct 2017,Headache just on one side? Here's what it could be:http://cle.clinic/2yM11la,85,61,2,,https://t.co/uXIQvOlePP,
9,ClevelandClinic,916816916240584710,5:06 PM - 7 Oct 2017,Are you worrying yourself sick?http://cle.clinic/2z4mGpB,188,93,6,,https://t.co/eqvuFS97a5,
10,ClevelandClinic,916806344874721281,4:24 PM - 7 Oct 2017,Are sweet potato fries really the healthier option?http://cle.clinic/2z2VV4J,72,44,6,,https://t.co/nHic6f8dzC,
11,ClevelandClinic,916796784705458178,3:46 PM - 7 Oct 2017,Apple or pear: which body shape is worse for your health?http://cle.clinic/2xYKoWA,84,53,9,,https://t.co/ZE9HSzlG12,
12,ClevelandClinic,916782939655962624,2:51 PM - 7 Oct 2017,6 deliciously healthy teas that may help prevent chronic disease:http://cle.clinic/2wCciUp,268,160,6,,https://t.co/NpRwwiWfQB,
13,ClevelandClinic,916757774943518720,1:11 PM - 7 Oct 2017,Why women have a different pain threshold than men.http://cle.clinic/2z44wnJ,81,39,4,,https://t.co/sUDLkQ4AVw,
14,ClevelandClinic,916740159013453824,12:01 PM - 7 Oct 2017,The difference between farmed and wild salmon from @KristinKirkpat:http://cle.clinic/2xmVSn9,111,76,3,,https://t.co/R4i5Al1OcL,
15,ClevelandClinic,916709208573308928,9:58 AM - 7 Oct 2017,Try these remedies for your lower back pain:http://cle.clinic/2gijuiy,73,47,1,,https://t.co/VHkQv8JqkO,
16,ClevelandClinic,916679259737022464,7:59 AM - 7 Oct 2017,Boost your immune system with these vitamins and minerals!http://cle.clinic/2yNb49x,121,66,2,,https://t.co/3zSFbRg2w2,
17,ClevelandClinic,916642011783897088,5:31 AM - 7 Oct 2017,Does coffee calm you or make you anxious? The reason may be in your genes.http://cle.clinic/2hTQEIE,192,130,6,,https://t.co/9UK7poHXzt,
18,ClevelandClinic,916609045275975680,3:20 AM - 7 Oct 2017,"If you like your coffee creamy, use this type of milk:http://cle.clinic/2y6chvI",97,59,7,,https://t.co/7I0DnrFNuF,
19,ClevelandClinic,916601244092817409,2:49 AM - 7 Oct 2017,Your guide to the best and worst nut butters.http://cle.clinic/2yNFJDA,97,45,2,,https://t.co/1fZMPono9g,
20,ClevelandClinic,916589163729666048,2:01 AM - 7 Oct 2017,5 glands you didn't know you had and what they do for your body.http://cle.clinic/2y5qEQi,58,36,0,,https://t.co/S1ya5pyxzG,
21,ClevelandClinic,916529773639290881,10:05 PM - 6 Oct 2017,The pros (and cons) of using a menstrual cup instead of tampons:http://cle.clinic/2gi5Lbg,41,20,6,,https://t.co/Z5EysH4UzC,
22,ClevelandClinic,916522222394605568,9:35 PM - 6 Oct 2017,3 tricks to keep your hands looking young and what not to do:http://cle.clinic/2yMRryx,82,36,1,,https://t.co/mctQu9sFRZ,
23,ClevelandClinic,916506116502192129,8:31 PM - 6 Oct 2017,The acid in your stomach is strong enough to burn your skin. 8 more interesting #digestive facts:http://cle.clinic/2y5utoz,176,108,4,,https://t.co/uGCLKI8GOW,
24,ClevelandClinic,916498567296057344,8:01 PM - 6 Oct 2017,Kale or spinach: which green is better for your body?http://cle.clinic/2wDf8st,278,135,15,,https://t.co/Bs3KyXD15E,
25,ClevelandClinic,916493029921374208,7:39 PM - 6 Oct 2017,Are you damaging your teeth?http://cle.clinic/2yv0vf1,83,42,0,,https://t.co/wG8ZiKUaxz,
26,ClevelandClinic,916485983339606017,7:11 PM - 6 Oct 2017,Do THIS today to avoid feeling bloated tomorrow.http://cle.clinic/2kuegED,101,40,0,,https://t.co/J2hGfygVN9,
27,ClevelandClinic,916454528362434561,5:06 PM - 6 Oct 2017,Recent news claims Moscow Mules in copper mugs could make you sick. We explain the facts:http://cle.clinic/2xnOOSq,70,42,2,,https://t.co/fjg1VYgDTz,
28,ClevelandClinic,916443956489129984,4:24 PM - 6 Oct 2017,8 types of pain you shouldn't ignore:http://cle.clinic/2kuQTLm,69,55,1,,https://t.co/fgR6ZmgLPj,
29,ClevelandClinic,916434394449145857,3:46 PM - 6 Oct 2017,You can actually train your immune system to fight off a cold:http://cle.clinic/2y5phS3,159,98,3,,https://t.co/MAoozVwSO3,
30,ClevelandClinic,916420551710609408,2:51 PM - 6 Oct 2017,How to detect if your B12 level is low:http://cle.clinic/2gi5u8n,101,52,4,,https://t.co/AmDcJ3arDp,
31,ClevelandClinic,916409240083771392,2:06 PM - 6 Oct 2017,"Viral infections may be concerning for parents, but experts say they’re necessary to build strong immune systems. http://cle.clinic/2xZtR3Z pic.twitter.com/PGjVZSzTCo",67,36,1,,,"['PlayableMedia', 'PlayableMedia--video']"
32,ClevelandClinic,916399664651419648,1:28 PM - 6 Oct 2017,Greeter dog Piper is suited up and game day ready to #RallyTogether for @Indians tonight!pic.twitter.com/nfEMqZUwHS,95,16,3,https://pbs.twimg.com/media/DLeZDdDW0AAF2Jz.jpg,,
33,ClevelandClinic,916395386708705280,1:11 PM - 6 Oct 2017,"Take care of your mouth, starting with these 4 tips! #WorldSmileDayhttp://cle.clinic/2yLVmvi",120,60,2,,https://t.co/Vl6UoWzJqm,
34,ClevelandClinic,916389849589981186,12:49 PM - 6 Oct 2017,Cleveland Clinic researchers find link between bacterial imbalances and #breastcancer.http://cle.clinic/2xZ03W5,63,49,0,,https://t.co/NaftprJD7u,
35,ClevelandClinic,916380038370611200,12:10 PM - 6 Oct 2017,.@TobyCosgroveMD & incoming CEO Dr. Mihaljevic are armed against the flu! It's not too late to get vaccinated: http://cle.clinic/2z3hEtv pic.twitter.com/iIWP1Rwy4T,65,20,7,https://pbs.twimg.com/media/DLeYtRnWkAINmsm.jpg,,
36,ClevelandClinic,916376764959657984,11:57 AM - 6 Oct 2017,"The 3 kinds of naps, and how each helps you re-charge:http://cle.clinic/2z33DvI",146,96,4,,https://t.co/9QxoFIANGk,
37,ClevelandClinic,916365211552030720,11:11 AM - 6 Oct 2017,Did you know helping others in times of crisis can actually help you feel better? Here's how: http://cle.clinic/2xW8IrX pic.twitter.com/xa6Rft6IZ4,142,67,3,,,"['PlayableMedia', 'PlayableMedia--video']"
38,andreavecchio,916345829090316289,9:54 AM - 6 Oct 2017,Incredible episode of @DrivingCLE! Thank you @markhymanmd @ClevelandClinic for this game-changing approach to medicine & wellness!https://twitter.com/drivingcle/status/916344239260303363 …,13,3,1,,,
39,ClevelandClinic,916347068762820608,9:59 AM - 6 Oct 2017,6 types of fermented foods (other than pickles) to build a healthy gut:http://cle.clinic/2ghp4Sg,113,70,0,,https://t.co/AeZ37gK9UW,
40,ClevelandClinic,916333981578051584,9:07 AM - 6 Oct 2017,Promising new #cancer treatments: @MikkaelSekeres talks hopes & challenges for patients & doctors: http://bit.ly/2hSqBS7  @HuffPost,17,15,1,,https://t.co/6fI2ztxGEm,
41,ClevelandClinic,916316870004719617,7:59 AM - 6 Oct 2017,Try this healthy meatloaf recipe this weekend!http://cle.clinic/2ks83t0,80,30,3,,https://t.co/WftNoaJ9ZD,
42,ClevelandClinic,916279373807964161,5:30 AM - 6 Oct 2017,"4 seeds to boost your nutrition (and provide healthy fat, fiber and protein)http://cle.clinic/2xkPacL",120,69,0,,https://t.co/5FLm5dNdt8,
43,ClevelandClinic,916246657557184512,3:20 AM - 6 Oct 2017,Why you should avoid hand dryers in public bathrooms at all costs:http://cle.clinic/2xYDQ80,270,317,7,,https://t.co/tukq1DCbsL,
44,ClevelandClinic,916238856059420672,2:49 AM - 6 Oct 2017,Adult coloring can help relieve stress and relax the brain:http://cle.clinic/2yKkW3U,279,139,9,,https://t.co/oCFCVeyD6k,
45,ClevelandClinic,916226776459730945,2:01 AM - 6 Oct 2017,Reduce your risk of falling with these tips:http://cle.clinic/2yLzP5U,54,36,1,,https://t.co/6Nhpg05bZ9,
46,ClevelandClinic,916176443607887872,10:41 PM - 5 Oct 2017,Expert tips on lowering your cholesterol:http://cle.clinic/2xlnOrK,208,106,12,,https://t.co/rYVSbIwDLf,
47,ClevelandClinic,916167131535892480,10:04 PM - 5 Oct 2017,Why you crave these 4 foods and how to stop:http://cle.clinic/2xXQtjE,62,36,1,,https://t.co/FviVpb9mAB,
