,username,TwitterID,DateTime,content,likes,retweet,replies,image,articleImage,video
0,MayoClinic,917011704260759552,6:00 AM - 8 Oct 2017,Valley woman who beat #BreastCancer works to spread awareness http://bit.ly/2fQ4iIF  via @FOX10Phoenix,20,13,0,,https://t.co/rBAGMjXe5h,
1,MayoClinic,917006056852803584,5:37 AM - 8 Oct 2017,"Small changes can make all the difference when you run. For more healthy living tips, download the Mayo Clinic app. http://mayocl.in/2pjQr4h pic.twitter.com/MJbgkVMwLO",138,74,8,,,"['PlayableMedia', 'PlayableMedia--video']"
2,MayoClinic,916845602641711104,7:00 PM - 7 Oct 2017,"Incorporating changes into your exercise, diet routines may help prevent or avoid #hemorrhoids. http://bit.ly/2yJSGOJ  via @chicagotribune",17,14,0,,https://t.co/NfZbCSMTv1,
3,ossolalex,915993207518978048,10:32 AM - 5 Oct 2017,A room full of sequencers @MayoClinic researchers use to understand disease. This one machine can spit out results in real time #MayoJR17pic.twitter.com/1UHbQEXnn1,19,7,1,,,
4,MayoClinic,916817921598476288,5:10 PM - 7 Oct 2017,3 things to know about home #genetic testing. http://bit.ly/2fRbsMP  @SFLReporter,12,8,0,,https://t.co/BOMl9avaBY,
5,MayoClinic,916760039540617217,1:20 PM - 7 Oct 2017,Read how Mayo Clinic plans to use data to fight unnecessary lab tests. http://bit.ly/2fP4Crc  via @HCA_News,35,28,0,,https://t.co/zbN4ED67Ct,
6,MayoClinic,916724815851130883,11:00 AM - 7 Oct 2017,Leah Nelms feels like herself again after comprehensive care for her #BreastCancer. http://mayocl.in/2yGgR0q pic.twitter.com/Mt6GSlgqGR,11,7,0,https://pbs.twimg.com/media/DLjcXEeWsAAZOFJ.jpg,,
7,SharonTheimer,916318120691798017,8:03 AM - 6 Oct 2017,@MayoClinic Dr. Jennifer Fang shows how she can zoom in on a newborn via #telemedicine to help drs miles away resuscitate the baby #MayoJR17pic.twitter.com/UNiYUD0qK4,22,12,0,https://pbs.twimg.com/media/DLdqaulVoAA1Ua9.jpg,,
8,MayoClinic,916708125209780225,9:53 AM - 7 Oct 2017,"A whole-food diet rich in fruits, vegetables is powerful medicine. Download Mayo Clinic app for #healthyliving tips. http://mayocl.in/2pjQr4h pic.twitter.com/8FObEm34DF",119,66,3,,,"['PlayableMedia', 'PlayableMedia--video']"
9,MayoClinic,916680775722000386,8:05 AM - 7 Oct 2017,Tom Brokaw talks about his ‘rebirth’ after his #cancer diagnosis. http://mayocl.in/2fQsZVl pic.twitter.com/wU1MzHdm36,35,19,0,https://pbs.twimg.com/media/DLi0TmtVoAAlnFb.jpg,,
10,MayoClinic,916646796432236544,5:50 AM - 7 Oct 2017,Mayo Clinic Connect #Parkinsons group members say #sleep issues affect their moods. Join the conversation. http://mayocl.in/2xh2yyt pic.twitter.com/aV4GDaqoDy,24,18,0,https://pbs.twimg.com/media/DLiVZwRX4AAnb6U.jpg,,
11,MayoClinic,916630438868869120,4:45 AM - 7 Oct 2017,"For the latest in health and wellness, tune in to #MayoClinicRadio this weekend. Find an affiliate near you. http://mayocl.in/2yM0LCM pic.twitter.com/FYiVxFPfFR",19,10,0,https://pbs.twimg.com/media/DLiGhjaWkAAhHij.jpg,,
12,MayoClinic,916498317416321024,8:00 PM - 6 Oct 2017,Balancing school and sleep? Learn these healthy habits to help you balance both. http://bit.ly/2yMqGKu  via @azfamily,36,24,0,,https://t.co/6V7IJGioPb,
13,MayoClinic,916486994435493888,7:15 PM - 6 Oct 2017,Liquid biopsies: detecting and treating #cancer sooner. http://mayocl.in/2yNiAkK .pic.twitter.com/yr5MkGVwmr,63,36,0,https://pbs.twimg.com/media/DLgEEEoVYAA9ny6.jpg,,
14,MayoClinic,916471891518541824,6:15 PM - 6 Oct 2017,"Beer for women claims it can help with #menopause, but science says you’re just drunk. http://bit.ly/2fQOpSt  via @Newsweek",64,36,4,,https://t.co/zZqeO7rvd6,
15,MayoClinic,916458051426713600,5:20 PM - 6 Oct 2017,Lemonade stand fuels donation 'in honor of Emmy's left eye'. http://mayocl.in/2fQNUHH pic.twitter.com/WaalUZbHMv,34,13,0,https://pbs.twimg.com/media/DLfpvZKXcAEy5Ni.jpg,,
16,MayoClinic,916450955952099329,4:51 PM - 6 Oct 2017,"Is there a link between #sleep and #Alzheimers? Hear from @RonPetersenMD, neurologist, in this #MayoClinicMinute. http://mayocl.in/2yKC8GB pic.twitter.com/MueIqcHN2q",50,43,3,,,"['PlayableMedia', 'PlayableMedia--video']"
17,MayoClinic,916445475435368448,4:30 PM - 6 Oct 2017,Did you know? Your liver will return to normal size after about 12 weeks. Learn more about becoming a #Livingdonor. http://mayocl.in/2yNG49A pic.twitter.com/i5KXzlprXi,177,132,0,https://pbs.twimg.com/media/DLfeTUkWkAEMhgM.jpg,,
18,MayoClinic,916430306193887232,3:29 PM - 6 Oct 2017,Is there a positive link between exercise and #lymphedema? Hear from @JaxBreastDr  in this #MayoClinicMinute. http://mayocl.in/2yNHAsf pic.twitter.com/9qX4Iu7IN2,18,16,0,,,"['PlayableMedia', 'PlayableMedia--video']"
