,username,TwitterID,DateTime,content,likes,retweet,replies,image,articleImage,video
0,WebMD,917026806405967873,7:00 AM - 8 Oct 2017,Different types of carbs impact your blood sugar in different ways -- more on how: http://wb.md/2yM1fbW pic.twitter.com/vr4aPrz1FA,52,29,0,https://pbs.twimg.com/media/DLnvBKRW0AEhn3l.jpg,,
1,WebMD,917011703866515456,6:00 AM - 8 Oct 2017,"Sleeping in may be tempting, but getting up at the same time every day helps improve your quality of sleep. http://wb.md/2z0WmNc pic.twitter.com/b1mNGLZh51",53,34,0,https://pbs.twimg.com/media/DLnhSIjW0AAlW-I.jpg,,
2,WebMD,916989220497092608,4:30 AM - 8 Oct 2017,Does vertigo have the room spinning? The Epley maneuver may provide relief in just a few easy steps: http://wb.md/2yMtJ5o pic.twitter.com/EeIskhx7U9,111,71,4,,,"['PlayableMedia', 'PlayableMedia--video']"
3,WebMD,916973953855483904,3:30 AM - 8 Oct 2017,Knowing how to destroy left-behind germs can keep sickness from spreading in your home. http://wb.md/2yL2BUn pic.twitter.com/OxNUNUSTyw,28,22,1,https://pbs.twimg.com/media/DLm-8yyWkAE1ElE.jpg,,
4,WebMD,916958854298161152,2:30 AM - 8 Oct 2017,Treatments for toenail fungus range from a topical cream to surgery to remove the nail. What you should know: http://wb.md/2z15Jwe pic.twitter.com/OfGTsinEZZ,10,8,0,https://pbs.twimg.com/media/DLmxN4RWkAAiBI_.jpg,,
5,WebMD,916943753860014080,1:30 AM - 8 Oct 2017,"Incredible. Within hours of breaking a bone, your body has already started to repair itself. Learn more: http://wb.md/2yKBiJW pic.twitter.com/FYKjUvonLD",38,27,0,https://pbs.twimg.com/media/DLmje9WX0AE-Oum.jpg,,
6,WebMD,916928659012882432,12:30 AM - 8 Oct 2017,True or false: What you eat the night before a cholesterol test can affect your numbers. http://wb.md/2yWQapw pic.twitter.com/XMXLgIWRf1,34,22,4,https://pbs.twimg.com/media/DLmVwURX0AANbf-.jpg,,
7,WebMD,916913554183409667,11:30 PM - 7 Oct 2017,Depression is more than having “the blues” -- it’s long periods of extreme sadness that keep coming back. More: http://wb.md/2wiJz6t pic.twitter.com/P11spiunqn,130,94,5,https://pbs.twimg.com/media/DLmIBGxWsAAbzKg.jpg,,
8,WebMD,916898456169480192,10:30 PM - 7 Oct 2017,"People with which blood type have a lower risk of heart disease: A, B, or O?http://wb.md/2yFZop1 pic.twitter.com/P8LdajdhJU",39,37,3,https://pbs.twimg.com/media/DLl6SPxWAAA4TrB.jpg,,
9,WebMD,916883356444479488,9:30 PM - 7 Oct 2017,True or false: Women are more likely than men to have a thyroid imbalance. http://wb.md/2yGgkvF pic.twitter.com/hQPJMEye1B,61,38,13,https://pbs.twimg.com/media/DLlsjVyW4AA0yG5.jpg,,
10,WebMD,916868259164672001,8:30 PM - 7 Oct 2017,Just 1 cup of butternut squash has nearly 300% of your daily needs of vitamin A & almost half your day’s vitamin C. http://wb.md/2vqrzL9 pic.twitter.com/ds4XGk94NA,100,50,5,https://pbs.twimg.com/media/DLle0fJXcAAp6T_.jpg,,
11,WebMD,916853158693015552,7:30 PM - 7 Oct 2017,"Tearing, redness, itching, and crusty eyelashes are all signs of conjunctivitis, commonly called pinkeye. More info: http://wb.md/2wiqpxN pic.twitter.com/Wq6PAnHmxU",27,19,0,https://pbs.twimg.com/media/DLlRFmFWsAEAwM3.jpg,,
12,WebMD,916838064747679745,6:30 PM - 7 Oct 2017,Nuts are an excellent way to curb hunger between meals -- for a couple reasons. Learn more: http://wb.md/2vq6uAq pic.twitter.com/a4QQorTTVG,133,68,1,https://pbs.twimg.com/media/DLlDXBLXUAA035C.jpg,,
13,WebMD,916822959372881922,5:30 PM - 7 Oct 2017,True or false: Drinking beer can trigger a gout attack. http://wb.md/2yVQDIb pic.twitter.com/e8qUyfagpK,34,20,10,https://pbs.twimg.com/media/DLk1nw6W4AA8zo5.jpg,,
14,WebMD,916807859811348481,4:30 PM - 7 Oct 2017,There are two types of lymphoma -- Hodgkin's and non-Hodgkin's -- and they both happen in a similar way. More info: http://wb.md/2vpVzXD pic.twitter.com/gFo5lt0Axx,38,31,2,https://pbs.twimg.com/media/DLkn4z0W4AA6IMt.jpg,,
15,WebMD,916792759641628673,3:30 PM - 7 Oct 2017,"Fiber, vitamin C, potassium, iron, beta-carotene… there are a lot of health benefits to eating sweet potatoes. More: http://wb.md/2yYVmJd pic.twitter.com/zDeJTcqOXl",158,100,6,https://pbs.twimg.com/media/DLkaJ7LX0AAJKKF.jpg,,
16,WebMD,916777660956717057,2:30 PM - 7 Oct 2017,"When your blood sugar gets too low, which part of your body will notice it first: your muscles, heart, or brain? http://wb.md/2yFCaPH pic.twitter.com/KHoqCFo4Iv",39,41,3,https://pbs.twimg.com/media/DLkMbBGW0AIJs4v.png,,
17,WebMD,916762560552194048,1:30 PM - 7 Oct 2017,"If your thyroid doesn’t make enough of the hormones it’s supposed to, it can lead to Hashimoto's Disease. More: http://wb.md/2yUAJht pic.twitter.com/ICGQxRkTzm",33,22,2,https://pbs.twimg.com/media/DLj-sGfWkAAm0SZ.jpg,,
18,WebMD,916747461624025091,12:30 PM - 7 Oct 2017,True or false: Brisk walking counts as cardio exercise. http://wb.md/2wiD0Ry pic.twitter.com/YsQS2nZtPt,27,16,1,https://pbs.twimg.com/media/DLjw9NWWkAcW_wH.jpg,,
19,WebMD,916732583815376897,11:30 AM - 7 Oct 2017,"Lean beef, light beer, and fiery spices make this slow-cooker chili a game-day favorite.pic.twitter.com/eNA0eX6Klv",61,21,0,,,"['PlayableMedia', 'PlayableMedia--video']"
20,WebMD,916724812416016384,11:00 AM - 7 Oct 2017,"More than 3 million adults and a half-million children take melatonin, but how safe is it? What you should know: http://wb.md/2z3jomD pic.twitter.com/zHhEh1eAtS",31,23,2,https://pbs.twimg.com/media/DLjcWzrXcAA0TXv.jpg,,
21,WebMD,916709716268584962,10:00 AM - 7 Oct 2017,Want to know the secret to perfect hard-boiled eggs? Don't boil them! Try this method instead: http://wb.md/2wio6L9 pic.twitter.com/rnXmnFucHD,20,16,1,https://pbs.twimg.com/media/DLjOoBDW4AAlFX7.jpg,,
22,WebMD,916694610436648961,9:00 AM - 7 Oct 2017,"When a heart attack strikes, it doesn’t always feel the same in women as it does in men. Know the warning signs: http://wb.md/2vqbwg9 pic.twitter.com/Ud0LGWiVKp",80,83,0,https://pbs.twimg.com/media/DLjA46hWAAEMstp.jpg,,
23,WebMD,916679518378741760,8:00 AM - 7 Oct 2017,Looking for something crunchy to get your potassium fix? Sunflower seeds have 241 milligrams per ounce. http://wb.md/2vpJyS1 pic.twitter.com/kMn8p2Ipdg,55,39,1,https://pbs.twimg.com/media/DLizKWRXkAAKhA8.jpg,,
24,WebMD,916664414912368640,7:00 AM - 7 Oct 2017,The first signs of lupus can look a lot like rheumatoid arthritis or fibromyalgia. What you need to know: http://wb.md/2yF29qA pic.twitter.com/glUTL4c2UF,46,43,4,https://pbs.twimg.com/media/DLilbQ0WAAA_e3b.jpg,,
25,WebMD,916649315778682880,6:00 AM - 7 Oct 2017,Some aches and pains you may brush off when you’re younger could be a sign of bigger problems in middle age. http://wb.md/2yFXhl5 pic.twitter.com/qZyOYPZra0,17,12,0,https://pbs.twimg.com/media/DLiXsWQX4AE--T0.jpg,,
26,WebMD,916634212941385728,5:00 AM - 7 Oct 2017,RECALL ALERT: Playtex recalls all Toddler Mealtime dishes and dish sets sold in the last 8 years. What to look for: http://wb.md/2z3yDfe pic.twitter.com/OcovetI9zJ,15,27,0,https://pbs.twimg.com/media/DLiJ9WRXUAEnV7l.jpg,,
27,WebMD,916619293781086208,4:00 AM - 7 Oct 2017,Get in the fall spirit and try one of these 7 pumpkin dishes! http://wb.md/2yTscLF pic.twitter.com/NCTagS4UP6,49,23,0,,,"['PlayableMedia', 'PlayableMedia--video']"
28,WebMD,916604016586616833,3:00 AM - 7 Oct 2017,"Kale is packed with vitamin K, which works with calcium and vitamin D to keep your bones strong and healthy. More: http://wb.md/2vpGh4Z pic.twitter.com/Dsq2tXXtTQ",95,63,3,https://pbs.twimg.com/media/DLhufmoW4AA6a-G.jpg,,
29,WebMD,916588918778327043,2:00 AM - 7 Oct 2017,What are you thankful for today?pic.twitter.com/HzgCUvlJJs,112,49,3,https://pbs.twimg.com/media/DLhgwuAWAAAHX5t.jpg,,
30,WebMD,916566266873294848,12:30 AM - 7 Oct 2017,As many as 4 out of every 10 people may have sleep paralysis. What to know about the common condition: http://wb.md/2yGg0gp pic.twitter.com/q5e347pQKO,63,41,4,https://pbs.twimg.com/media/DLhMKUiXcAAOzLF.jpg,,
31,WebMD,916548650737786880,11:20 PM - 6 Oct 2017,Fibromyalgia is a lifelong condition that affects about 5 million Americans. What you should know: http://wb.md/2we7Zly pic.twitter.com/Yi7tCsjAx5,64,59,2,https://pbs.twimg.com/media/DLg8I6WXUAAXlLU.jpg,,
32,WebMD,916536068559609856,10:30 PM - 6 Oct 2017,True or false: Telling a fib can make your nose warmer. http://wb.md/2x8jYO5 pic.twitter.com/r5aeVHmAs7,21,8,1,https://pbs.twimg.com/media/DLgwsfIWkAEexRo.jpg,,
33,WebMD,916520970650824704,9:30 PM - 6 Oct 2017,"Fruit has fiber and other nutrients you need. But it also has natural sugar, and some have more than others. http://wb.md/2x8Hzhw pic.twitter.com/035KgnnVRe",124,91,2,https://pbs.twimg.com/media/DLgi9rRWAAASyYV.jpg,,
34,WebMD,916505871349374976,8:30 PM - 6 Oct 2017,"If your feet are swollen, it can be hard to move around. What to know about health conditions that can cause it: http://wb.md/2xbZIv4 pic.twitter.com/BCIlh8pC7R",37,22,2,https://pbs.twimg.com/media/DLgVOs2X0AAgeVP.jpg,,
35,WebMD,916490770529574912,7:30 PM - 6 Oct 2017,"Which blood type can be used by anyone: O negative, O positive, or A positive? http://wb.md/2yUTtgE pic.twitter.com/RIX3CmtBBw",117,74,51,https://pbs.twimg.com/media/DLgHfzdWkAAYeaX.jpg,,
36,WebMD,916475669537837058,6:30 PM - 6 Oct 2017,A closer peek at your face may show clues about your health -- if you know what to look for. http://wb.md/2xbQdMr pic.twitter.com/wJ6cIFCZ4q,32,26,1,https://pbs.twimg.com/media/DLf5w2NX0AAAsIK.jpg,,
37,WebMD,916460568265003008,5:30 PM - 6 Oct 2017,"CHECK YOUR FRIDGE: Over 38,000 lbs of ground turkey have been recalled after metal shavings were found. http://wb.md/2yMOCxa pic.twitter.com/uJpVA9ez54",15,31,1,https://pbs.twimg.com/media/DLfsB4eX0AArvSx.jpg,,
38,WebMD,916445518884229120,4:30 PM - 6 Oct 2017,The biggest effect on your personality? It comes from the things that happen to you. http://wb.md/2z4gWvR pic.twitter.com/fjFkSz7Lt8,38,20,2,https://pbs.twimg.com/media/DLfeVxhX4AIPJqd.jpg,,
39,WebMD,916430369624387589,3:30 PM - 6 Oct 2017,Cigna announced it will no longer cover most OxyContin prescriptions starting in January. http://wb.md/2z3iHJO pic.twitter.com/bPMwNHUzTm,39,37,8,https://pbs.twimg.com/media/DLfQkDlW0AgoBe5.jpg,,
40,WebMD,916415426308997126,2:30 PM - 6 Oct 2017,"Too much salt is bad for blood pressure, but these tasty, natural substitutes can save the flavor -- and your heart! http://wb.md/2yMaHMA pic.twitter.com/bgT2fDKrUZ",94,75,1,,,"['PlayableMedia', 'PlayableMedia--video']"
41,WebMD,916400170614480897,1:30 PM - 6 Oct 2017,This is the first fingerstick-free device approved to monitor blood sugar levels. http://wb.md/2z33j02 pic.twitter.com/mGL3EVNmAp,44,45,0,https://pbs.twimg.com/media/DLe1GP3WsAA_Wso.jpg,,
42,WebMD,916388849005277184,12:45 PM - 6 Oct 2017,Sometimes it's hard to spot a bipolar mood change coming on -- signs to watch for include: http://wb.md/2z49Ibq pic.twitter.com/LTy0oElzOX,29,20,1,https://pbs.twimg.com/media/DLeqzKOW4AAW0gU.jpg,,
43,WebMD,916379909370425344,12:09 PM - 6 Oct 2017,"After the massacre in Las Vegas, experts urge Americans to be prepared in the event of mass violence. http://wb.md/2yNxhUP pic.twitter.com/TRpXrgMBng",34,22,2,https://pbs.twimg.com/media/DLeiq2mX0AIEqGM.jpg,,
44,WebMD,916370139360186368,11:30 AM - 6 Oct 2017,"A hepatitis A outbreak, which has hospitalized hundreds in San Diego and resulted in deaths, is spreading. http://wb.md/2z5wiAu pic.twitter.com/yo4ZxcPssW",20,37,1,https://pbs.twimg.com/media/DLeZyKZXcAIhKpm.jpg,,
45,WebMD,916353113027686400,10:23 AM - 6 Oct 2017,Trump Administration rolls back federal mandate that provides free birth control to more than 55 million women: http://wb.md/2yLKkGw pic.twitter.com/iNLRbnVGo9,50,37,10,https://pbs.twimg.com/media/DLeKTFyW0AAi1-b.jpg,,
46,WebMD,916332385834356736,9:00 AM - 6 Oct 2017,Experts at the World Health Organization say processed meat is linked to an increased risk of colorectal cancer. What you should know:pic.twitter.com/P7aWHvmZRY,56,61,1,,,"['PlayableMedia', 'PlayableMedia--video']"
47,WebMD,916320903524442113,8:15 AM - 6 Oct 2017,"Following her MS diagnosis, Jenai Henry is making changes to her diet to use food to help treat her condition. http://wb.md/2yKUo2x pic.twitter.com/L518V2b5nD",27,8,1,https://pbs.twimg.com/media/DLdtAHgX4AEbZMN.jpg,,
48,WebMD,916317126595633153,8:00 AM - 6 Oct 2017,The CDC reports even more Campylobacter infections from puppies sold at Petland pet stores. What you need to know:pic.twitter.com/50dlABjcnb,19,15,0,https://pbs.twimg.com/media/DLdpkXoWsAAbhp_.jpg,,
