,username,verified,DateTime,content,likes,retweet,replies,image
0,LeesaVlahosMP,1,9:10 AM - 25 Oct 2016,@Apple support vision hearing physical motor neurodiversity #accessibility @RIWorldCongress #inclusiveworld,0,1,0,
1,dontdismyabilit,0,9:28 AM - 3 Sep 2016,Doesn't matter how great you are if no one can find you. @dontdismyabilit @TheVilleCoop @Apple #ADHD #neurodiversity pic.twitter.com/jCOCB1gxVW,3,7,0,https://pbs.twimg.com/media/CrcVFSRWcAApAbE.jpg
2,Rom_Duck,0,8:38 AM - 11 May 2016,#FollowMe Rom_duck  #entrepreneurship #happyTimes #neurodiversity #entrepreneurship #security #computer #help #Apple #windowsPC,1,0,0,
3,kit_boyer,0,9:32 PM - 4 Apr 2016,Apple's new film shows how tech transforms lives http://on.mash.to/1PLOkqH#0Ctd3RbhAaOO … #autismawareness #ASD #neurodiversity pic.twitter.com/l6sfjUw6js,0,0,0,https://pbs.twimg.com/media/CfQJKdaWQAI0m61.jpg
4,jrtgirl35,0,1:37 PM - 2 Apr 2016,@tim_cook thankyou for promoting #AutismAcceptance as a autistic person this makes me love Apple even more #ActuallyAutistic #neurodiversity,0,0,0,
5,KatKnoernschild,0,10:50 AM - 2 Apr 2016,"#AutismAwareness ad by #Apple 'Dylan's Voice'. Beautiful, TY.
Celebrate #neurodiversity & give children their voice https://twitter.com/itskunalsheth/status/716304549904920576 …",0,0,0,
6,excludenone,1,5:34 PM - 16 Jan 2016,@HuffingtonPost how does Apple measure up in #neurodiversity ?  https://twitter.com/huffingtonpost/status/688125389563006977 …,0,0,0,
7,AutismAdvoCat,0,8:46 AM - 18 Oct 2015,"Interesting 
Apple working with Autism
research project 
#Autism
#Neurodiversity http://fb.me/6LkU3UGa5",1,1,0,
8,TraysJourney,0,7:56 PM - 6 Sep 2015,Hi @brittopopart your apple sculpture was in a city clip in great movie @ThatSugarFilm touches on #neurodiversity,0,0,0,
9,Aspertools,0,5:37 AM - 16 Aug 2015,"@Apple, @Intel Improve in Workplace Diversity http://www.toptechnews.com/article/index.php?story_id=033001WTI269 … #neurodiversity #asd",0,0,0,
