,username,verified,DateTime,content,likes,retweet,replies,image
0,womens_womens,0,7:16 PM - 3 Jul 2017,Brigham and Women's Hospital's Department of Dermatology and Six Flags New England Partner with the Melanoma Fo... http://ow.ly/N3Vn50czOaE,0,0,0,
1,SouthShoreElder,0,7:54 AM - 30 Jun 2017,Promising future for #technology for #chronicillness via @wsj @BrighamAndWomens https://twitter.com/room2care/status/880796773106765825 …,2,0,0,
2,hospital_talk,0,5:26 AM - 28 Jun 2017,Boston MA USA - BARIATRIC DATABASE ANALYS with Brigham and Womens #Hospital - full-time Boston ... http://www.medyellow.com/jobs/?q=BARIATRIC+DATABASE+ANALYS+with+Brigham+and+Womens+Hospital&l=Boston+MA+USA&z=&tw=26 … #HEALTHCARE #JOB,0,0,0,
3,hospital_talk,0,1:41 PM - 27 Jun 2017,Boston MA USA - PATIENT ACCESS COORDINATOR / 40 HOURS / DAY / BWH MEDICINE - Brigham and Womens... http://www.medyellow.com/jobs/?q=PATIENT+ACCESS+COORDINATOR+%2F+40+HOURS+%2F+DAY+%2F+BWH+MEDICINE&l=Boston+MA+USA&z=&tw=26 … #HEALTHCARE #JOB,0,0,0,
4,jenniferfriley,0,8:19 AM - 25 Jun 2017,Celebrating with my boys on a beautiful day for a race after the #myBAA10K #BAA10k #brighamandwomens pic.twitter.com/6SHl5IWGfY,4,0,0,https://pbs.twimg.com/media/DDLSOAZU0AAxf8d.jpg
5,UnseelieMe,0,12:30 PM - 23 Jun 2017,"Im feeling less positive about this new doctors office now, despite them being affiliated w/Brigham & Womens and Mass General.",0,0,0,
6,EnsBot,0,4:12 PM - 17 Jun 2017,brighamandwomens.eth was just registered for 0.01 ether https://registrar.ens.domains/#brighamandwomens …,0,0,0,
7,DisabledJobs,0,9:26 AM - 17 Jun 2017,"Brigham And Women's Hospital wants a CLINICAL FELLOWSHIP IN WOMENS IMAGING in Boston, MA: http://bit.ly/2tzeWZ7",0,0,0,
8,EnsBot,0,3:44 PM - 12 Jun 2017,"Auctions were started for doraskean.eth, braouonline.eth, pulsesoftware.eth, awesomeshootergamereviews.eth and brighamandwomens.eth",0,0,0,
9,YvesMulkers,0,8:51 AM - 4 Jun 2017,How Machine Learning Is Helping Us ... http://bit.ly/2rz0lNs  #Boston-Medical-Center #Boston-University #Brigham-And-Womens-Hospital,1,0,0,
